facet,group,A,H,N,G,V,growthH,MAIh,growthG,MAIg,growthVt,MAIv,Dq,Dn,Dx,a,b,c,si,vtotal,vdlu_6cm,vdlu_8cm,vdlu_12cm,vdlu_16cm,vdlu_0cm
g2,5364,9.5036,12,825,12.46,49.85010681,0,1.262679406,0,1.32268954,0,5.291831045,13.86714658,10.22355553,20.21109055,10.22355553,4.105999077,2.51331838,23.73871793,49.85010681,49.40428225,46.37722928,31.61723279,8.437216547,49.85010681
g2,5364,10,12.68417739,821.9288067,15.09527559,62.85475917,0.684177391,1.268417739,2.63527559,1.509527559,13.00465235,6.285475917,15.2917955,11.40793576,21.21312541,11.40793576,4.376734568,2.513901734,23.73871793,62.85475917,62.73942742,59.82234088,44.64177232,19.46627521,62.85475917
g2,5364,11,14.02877097,815.8401901,18.34284834,84.18965358,1.344593577,1.275342815,3.247572747,1.667531667,21.33489442,7.653604871,16.91943666,12.63443255,22.94686007,12.63443255,4.829757976,2.49353604,23.73871793,84.18965358,83.66603489,80.71868524,63.92788124,35.18973685,84.18965358
g2,5364,12,15.32429223,809.8911402,21.41381211,106.7079889,1.295521264,1.277024353,3.070963769,1.784484342,22.51833532,8.892332409,18.3479999,13.71126281,24.52850413,13.71126281,5.227342482,2.470621727,23.73871793,106.7079889,105.9597152,102.7688789,84.31543184,52.71367339,106.7079889
g2,5364,13,16.56737,804.0883546,24.27931202,130.5025792,1.243077765,1.274413077,2.865499911,1.867639386,23.79459028,10.03865994,19.60746106,14.66021168,25.95851462,14.66021168,5.57865242,2.445816909,23.73871793,130.5025792,129.3573652,125.7741625,105.8914632,71.66764501,130.5025792
g2,5364,14,17.75599631,798.4357423,26.92790272,155.5690239,1.188626311,1.268285451,2.648590705,1.923421623,25.06644467,11.11207313,20.72222282,15.49927826,27.24005622,15.49927826,5.890838435,2.419644837,23.73871793,155.5690239,153.6321591,149.7654697,128.523224,91.70651813,155.5690239
g2,5364,15,18.88921971,792.9350804,29.35814558,181.8657425,1.133223405,1.259281314,2.430242858,1.957209705,26.29671867,12.12438283,21.71203614,16.24312603,28.37799379,16.24312603,6.169572006,2.392514192,23.73871793,181.8657425,179.2735846,174.9142723,151.8730259,112.4627507,181.8657425
g2,5364,16,19.96690628,787.5865096,31.57475238,208.9773604,1.077686571,1.247931643,2.216606799,1.973422024,27.11161789,13.06108503,22.59310401,16.90385008,29.37838214,16.90385008,6.419425992,2.364745422,23.73871793,208.9773604,205.6476209,200.5416405,175.7622718,133.7603934,208.9773604
g2,5364,17,20.98955162,782.388915,33.58632507,235.573622,1.022645338,1.234679507,2.011572693,1.975666181,26.59626158,13.85727188,23.37894765,17.49160548,30.24812621,17.49160548,6.644143135,2.336591934,23.73871793,235.573622,231.4597244,225.6399041,199.2310748,154.9269746,235.573622
g2,5364,18,21.95813194,777.3402208,35.40389546,262.0328402,0.968580317,1.219896219,1.817570388,1.966883081,26.45921821,14.55738001,24.08102755,18.0150584,30.99471209,18.0150584,6.84682753,2.308255589,23.73871793,262.0328402,257.1562407,250.5240259,222.4485301,175.8060413,262.0328402
